Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
Sortilège,"Slim, Ala Eddine (1982 - ...)",Ala Eddine Slim ...,2177662,DVD SOR,"Dans une caserne en Tunisie, un jeune soldat informé du décès de sa mère se voit accorder une permission. Il déserte et s'enfonce dans une mystérieuse forêt...En bonus : Interview de l'acteur principal Abdullah Miniawy.",Film de guerre
Sous le ciel d'Alice,"Mazlo, Chloé",Chloé Mazlo ...,2195241,DVD SOU,"Dans les années 50, la jeune Alice quitte la Suisse pour le Liban, contrée ensoleillée et exubérante. Là-bas, elle a un coup de foudre pour Joseph, un astrophysicien malicieux qui rêve d'envoyer le premier Libanais dans l'espace. Alice trouve vite sa place dans la famille de ce dernier. Mais après quelques années de dolce vita, la guerre civile s'immisce dans leur paradis...En bonus : Entretien avec Chloé Mazlo. ""La mise en scène de Chloé Mazlo renoue avec l'artisanat du cinéma avec des inventions bricolées, créatives et esthétiques. On pense à Michel Gondry. Des photos font office de décor, l'animation s'invite, le jeu minimaliste des acteurs donnent un ton libre et aérien au Ciel d'Alice."" Culturebox - France Télévisions - Jacky Bornet ""La singularité du film repose sur la rareté des images animées que l'on découvre au détour d'un plan."" Le Monde - Clarisse Fabre ""Un récit coloré et poétique qui entrelace histoire familiale et histoire nationale pour dénoncer l'absurdité de la guerre."" aVoir-aLire.com - Claudine Levanneur",Film de guerre
Sous le ciel de Koutaïssi,"Koberidze, Aleksandre",Aleksandre Koberidze ...,2180190,DVD SOU,"C'est le coup de foudre quand Lisa et Giorgi se rencontrent par hasard dans les rues de Koutaïssi. L'amour les frappe si soudainement, qu'ils en oublient même de se demander leur prénom. Avant de poursuivre leur chemin, ils décident de se retrouver le lendemain. Ils sont loin de se douter que le mauvais oeil leur a jeté un sort.","Romance, sentimental"
Sous le plus grand chapiteau du monde,"DeMille, Cecil B.",Cecil B. DeMille ...,2139557,DVD SOU,"Le directeur d'un grand cirque engage un nouveau trapèziste... Un drame plein d'action et d'humour dans l'univers flamboyant du cirque, des acteurs prestigieux, du grand spectacle pour tous...",Action
Sous le sable,"Ozon, François",François Ozon ...,2082064,DVD SOU,"Une femme glisse dans la folie après la disparition mystérieuse de l'homme de sa vie. Emouvant, onirique et troublant à l'image de son interprète. Commentaires, interviews, deux courts métrages, bandes-annonces.",Drame
Sous les étoiles de Paris,"Drexel, Claus (1968 - ....)",Claus Drexel ...,2188950,DVD SOU,"Depuis de nombreuses années, Christine vit sous un pont, isolée de toute famille et amis. Par une nuit comme il n'en existe que dans les contes, un jeune garçon de 8 ans fait irruption devant son abri. Suli ne parle pas français, il est perdu, séparé de sa mère... Ensemble, ils partent à sa recherche. A travers les rues de Paris, Christine et Suli vont apprendre à se connaître et à s'apprivoiser. Et Christine à retrouver une humanité qu'elle croyait disparue. En bonus : Entretien avec Claus Drexel, Regard critique sur le film, bande-annonce. """"Sous les étoiles de Paris"" s'avère une drôle et terrifiante traversée de Paris. Bien sûr, certains diront que la fable est cousue de fil blanc. Mais elle est juste et touche au coeur sans tomber dans l'engagement forcené ou le misérabilisme appuyé."" Le Figaro - Olivier Delcroix ""Un conte social redonnant une dignité à des êtres broyés, et des raisons d'espérer."" Télérama - Guillemette Odicino ""Une traversée de Paris émouvante et cocasse qui, entre drame social et conte moderne, nous emmène, en compagnie d'un duo insolite, à la découverte de la face obscure de la Ville Lumière."" aVoir-aLire.com - Claudine Levanneur",Fantasy / Merveilleux
Sous les figues,"Sehiri, Erige (1982 - ...)",Erige Sehiri ...,2197376,DVD SOU,"Au nord-ouest de la Tunisie, des jeunes femmes travaillent à la récolte des figues. Sous le regard des ouvrières plus âgées et des hommes, elles flirtent, se taquinent, se disputent. Au fil de la journée, le verger devient un théâtre d'émotions, où se jouent les rêves et les espoirs de chacun.",Drame
Souterrain,"Dupuis, Sophie",Sophie Dupuis ...,2180364,DVD SOU,"Maxime, la vingtaine, travaille dans la mine d'or d'une petite ville du Québec. Ici, tout le monde se connaît et tout le monde connaît la mine. A l'origine d'un drame qui a failli coûter la vie à Julien, son ami d'enfance, il est en proie aux doutes et à la culpabilité. Lorsqu'une violente explosion retentit sous terre, Maxime voit l'occasion de se racheter : il descend dans l'antre de la mine avec la ferme intention de ramener chacun de ses collègues et amis vivants...",Action
Souvenir,"Im, Kwon-Taek",Kwon-Taek Im ...,2101870,DVD SOU,"Ne supportant plus les exigences de son professeur de musique et beau-père, Dong-ho s'enfuit et abandonne à la fois la musique et sa demi-soeur, qu'il aime en secret. Intimiste, épuré, sublime...",Drame
Soy Nero,"Pitts, Rafi","Rafi Pitts, Razvan Radulescu ...",2149977,DVD SOY,"Nero a 19 ans, il a grandi aux Etats-Unis puis s'est fait déporter au Mexique. Etranger dans le pays de ses parents, il est décidé à repasser la frontière coûte que coûte. Il parvient enfin à retrouver son frère, Jesus, qui vit à Los Angeles. Pour échapper à la vie de misère à laquelle le condamne sa condition de clandestin, sa dernière chance pour devenir américain est de s'engager dans l'armée. Nero rejoint le front des ""green card soldiers"".",Film de guerre
Sparrows,"Runarsson, Runar (1977 - ...)",Runar Runarsson ...,2149483,DVD SPA,"Ari, seize ans, vit avec sa mère à Reykjavik lorsqu'il doit soudain retourner vivre chez son père Gunnar, dans la région isolée des fjords, au nord-ouest de l'Islande. Sa relation avec son père n'est pas des plus faciles et ses amis d'enfance semblent avoir bien changé. C'est dans cette situation difficile à laquelle il ne peut échapper qu'Ari devra s'imposer pour trouver sa voie.",Drame
Speakerine,"Tuel, Laurent",Laurent Tuel ...,2197660,DVD SPE TV,"Juillet 1962. Christine Beauval est la speakerine vedette de la RTF. Adulée par des millions de téléspectateurs, sa vie semble aussi parfaite que son brushing : mère de famille, elle est l'épouse modèle du directeur de l'information de la chaîne. Mais lassée d'être une potiche, Christine rêve d'avoir sa propre émission. Son ambition est mise à mal par son mari, son milieu professionnel et une société où les femmes ne sont pas encore émancipées. Agressée dans les studios de tournage, elle va devoir faire face à une violence à laquelle elle n'était pas préparée, et se battre pour sauver sa carrière... 6 épisodes.",Drame
Speed racer,"Wachowski, Lilly (1967 - ...)","Lilly Wachowski, Lana Wachowski ...",2183646,DVDJ SPE,"Les aventures d'un jeune pilote de courses. Divertissement proposant un univers où looks, allusions cinématographiques et symboles graphiques créent un cachet rétro-futuriste.",Science-fiction
Split,"Shyamalan, Manoj Night","Manoj Night Shyamalan, réal.",2157480,DVD SPL,"Kevin a déjà révélé 23 personnalités, avec des attributs physiques différents pour chacune, à sa psychiatre dévouée, le docteur Fletcher, mais l'une d'elles reste enfouie au plus profond de lui. Elle va bientôt se manifester et prendre le pas sur toutes les autres. Poussé à kidnapper trois adolescentes, dont la jeune Casey, aussi déterminée que perspicace, Kevin devient dans son âme et sa chair, le foyer d'une guerre que se livrent ses multiples personnalités, alors que les divisions qui régnaient jusqu'alors dans son subconscient volent en éclats. Bonus : Fin alternative avec introduction de M. Night Shyamalan, scènes coupées, making of, toutes les personnalités de James McAvoy, l'oeil du réalisateur M. Night Shyamalan.",Film de guerre
Spotlight,"McCarthy, Tom",Tom McCarthy ...,2142095,DVD SPO,"Adapté de faits réels, Spotlight retrace la fascinante enquête du Boston Globe - couronnée par le prix Pulitzer - qui a mis à jour un scandale sans précédent au sein de l'église catholique. Une équipe de journalistes d'investigation, baptisée Spotlight, a enquêté pendant douze mois sur des suspicions d'abus sexuels au sein d'une des institutions les plus anciennes et les plus respectées au monde. L'enquête révèlera que l'église catholique a protégé pendant des décennies les personnalités religieuses, juridiques et politiques les plus en vue de Boston, et déclenchera par la suite une vague de révélations dans le monde entier.",Policier et espionnage
States of Grace,"Cretton, Destin (1978 - ...)",Destin Cretton ...,2147836,DVD STA,"Sensible et déterminée, Grace est à la tête d'un foyer pour adolescents en difficulté. Parmi les jeunes membres de son équipe, diversement expérimentés, la solidarité et le bon esprit sont de mise. Jusqu'à l'arrivée soudaine d'une fille tourmentée qui ignore les règles du centre et renvoie Grace à sa propre adolescence... pas si lointaine... Un film délicat sur un sujet difficile, doté d'une interprétation magistrale.",Drame
Stefan Zweig : Adieu l'Europe,"Schrader, Maria (1965 - ...)",Maria Schrader ...,2149765,DVD STE,"En 1936, Stefan Zweig décide de quitter définitivement l'Europe. Le film raconte son exil, de Rio de Janeiro à Buenos Aires, de New York à Petropolis.",Drame
Stella,"Verheyde, Sylvie",Sylvie Verheyde ...,2139047,DVD STE,"1977. Stella, qui vit dans un café en périphérie de Paris, entre dans un grand lycée parisien, un nouveau monde. Tout sonne juste, le scénario, les décors, les comédiens, pas une fausse note !... Infos DVD : 1 DVD-9 / 1.85:1 / 16/9 comp. 4/3 / Dolby Digital 2.0, Dolby Digital 5.1 / LG : Fre / Making of (26?), entretien avec Sylvie Verheyde et les acteurs (15mn)",Drame
Stella est amoureuse,"Verheyde, Sylvie (1967 - ...)",Sylvie Verheyde ...,2197412,DVD STE,"1985, premier été sans les parents. Le soleil, les copines, les Italiens, le rêve. Retour à la réalité, pour Stella, c'est l'année du bac. Et même si elle dit qu'elle s'en fout, elle sait bien que ―ca peut décider de sa vie entière... Plutôt mourir que de reprendre le bar de ses parents. Surtout que, chez elle, son père s'est cassé avec une autre, en laissant les dettes et sa mère en déprime. Heureusement, il y a les sorties, la nuit, les rencontres, et puis l'amour pour rêver d'un autre monde.",Science-fiction
Steve Jobs,"Boyle, Danny (1956 - ...)",Danny Boyle ...,2142092,DVD STE,"Dans les coulisses, quelques instants avant le lancement de trois produits emblématiques ayant ponctué la carrière de Steve Jobs, du Macintosh en 1984 à l'iMac en 1998, le film nous entraîne dans les rouages de la révolution numérique pour dresser un portrait intime de l'homme de génie qui y a tenu une place centrale.",Biopic
Still Alice,"Glatzer, Richard (1952 - 2015)","Richard Glatzer, Wash Westmoreland ...",2146832,DVD STI,"Mariée, heureuse et mère de trois enfants, Alice Howland est un professeur de linguistique renommé. Mais lorsqu'elle commence à oublier ses mots et qu'on lui diagnostique les premiers signes de la maladie d'Alzheimer, les liens entre Alice et sa famille sont mis à rude épreuve. Effrayant, bouleversant, son combat pour rester elle-même est une magnifique source d'inspiration... Un film émotionnellement très fort qui fait la part belle au jeu de Julianne Moore...",Action
Still life,"Zhang-ke, Jia",Jia Zhang-ke ...,2101865,DVD STI,"Dans la région du barrage des Trois Gorges, un homme et une femme cherchent leur conjoint respectif. Un film envoûtant et pictural doublé d'un regard acéré sur un monde en mouvement..",Drame
Still the Water,"Kawase, Naomi",Naomi Kawase ...,2135230,DVD STI,"Sur l'île d'Amami, les habitants vivent en harmonie avec la nature, ils pensent qu'un dieu habite chaque arbre, chaque pierre et chaque plante. Un soir d'été, Kaito, découvre le corps d'un homme flottant dans la mer. Sa jeune amie Kyoko va l'aider à percer ce mystère. Ensemble, ils apprennent à devenir adulte et découvrent les cycles de la vie, de la mort et de l'amour.",Thriller
Still walking,"Kore-Eda, Hirokazu",Hirokazu Kore-Eda ...,2107730,DVD STI,"Une famille se retrouve comme tous les ans à Yokohama pour le quinzième anniversaire de la mort tragique du fils aîné. Sur le deuil, le vieillissement, le chagrin et les ressentiments. Intime et subtil...",Drame
Stranger than paradise,"Jarmusch, Jim",Jim Jarmusch ...,2085453,DVD STR,"Un climat d'humour rose et noir, une parodie du ""road movie"" et une chronique familière de la vie aux Etats-Unis. Infos DVD : 1 DVD-9 / 1.78 / 16/9 comp. 4/3 / Dolby Digital 1.0 / LG : Eng / S-T : Fre / Making of muet filmé par Tom Jarmusch, filmographies, galerie de photos, bandes-annonces, lien Internet.",Parodie
Stromboli,"Rossellini, Roberto",Roberto Rossellini ...,2188954,DVD STR,"L'Italie de l'après-guerre. Pour sortir du camp de réfugiés où elle est assignée, Karin, une jeune Lituanienne, accepte d'épouser Antonio, un jeune pêcheur de l'île volcanique de Stromboli. Mais sa vie y devient rapidement un enfer. Dans un environnement hostile où se dressent à la fois la barrière de la langue et la violence de son mari, elle décide de fuir...En bonus : Présentation par Roberto Rossellini, entretien avec Renzo Rossellini et Stéphane Roux, entretien avec Mathieu Macheret.",Film de guerre
Submarino,"Vinterberg, Thomas","Thomas Vinterberg, réal.",2111158,DVD SUB,"Deux frères mènent des vies parallèles dans la même ville, séparés par les blessures de l'enfance. Drame d'une noirceur sidérante, un chemin de croix éprouvant sauvé par une réelle empathie.",Drame
Suis-moi je te fuis,"Fukada, Kôji (1980 - ...)",Kôji Fukada ...,2197352,DVD SUI (1),"Entre ses deux collègues de bureau, le coeur de Tsuji balance. Jusqu'à cette nuit où il rencontre Ukiyo, à qui il sauve la vie sur un passage à niveau. Malgré les mises en garde de son entourage, il est irrémédiablement attiré par la jeune femme... qui n'a de cesse de disparaître. Première partie du diptyque ""Suis-moi je te fuis"" / ""Fuis-moi je te suis"".",Drame
Sully,"Eastwood, Clint",Clint Eastwood ...,2150015,DVD SUL,"L'histoire vraie du pilote d'US Airways qui sauva ses passagers en amerrissant sur l'Hudson en 2009. Le 15 janvier 2009, le monde a assisté au miracle sur l'Hudson accompli par le commandant Sully Sullenberger : en effet, celui-ci a réussi à poser son appareil sur les eaux glacées du fleuve Hudson, sauvant ainsi la vie des 155 passagers à bord. Cependant, alors que Sully était salué par l'opinion publique et les médias pour son exploit inédit dans l'histoire de l'aviation, une enquête a été ouverte, menaçant de détruire sa réputation et sa carrière.",Policier et espionnage
Summer,"Kavaïte, Alanté (1973 - ...)",Alanté Kavaïte ...,2139530,DVD SUM,"Sangaïlé, jeune fille de dix-sept ans, passe l'été avec ses parents dans leur villa au bord d'un lac de Lituanie. Comme chaque année, Sangaïlé se rend au show aérien. Cette fois, elle y fait la connaissance d'Austé, une fille de son âge, aussi extravertie que Sangaïlé est timide et mal dans sa peau. Une amitié va s'épanouir dans la sensualité de l'été.",Drame
Summer white,"Ruiz Patterson, Rodrigo",Rodrigo Ruiz Patterson ...,2185318,DVD SUM,"Rodrigo, adolescent solitaire, a une relation forte avec sa mère. Les choses changent quand elle invite son nouveau petit ami à venir vivre dans leur maison, à la périphérie de Mexico. Rodrigo doit décider s'il peut accepter cette nouvelle famille ou se battre pour son trône, écrasant le bonheur de la personne qu'il aime le plus.",Drame
Sunset,"Nemes, Laszlo (1977 - ...)","Laszlo Nemes, réal.",2171679,DVD SUN,"1913, au coeur de l'empire austro-hongrois. Irisz Leiter revient à Budapest après avoir passé son enfance dans un orphelinat. Son rêve de travailler dans le célèbre magasin de chapeaux, autrefois tenu par ses parents, est brutalement brisé par Oszkar Brill le nouveau propriétaire. Lorsqu'Irisz apprend qu'elle a un frère dont elle ne sait rien, elle cherche à clarifier les mystères de son passé. A la veille de la guerre, cette quête sur ses origines familiales va entraîner Irisz dans les méandres d'un monde au bord du chaos.",Film de guerre
Sunset Song,"Davies, Terence",Terence Davies ...,2143690,DVD SUN,"La campagne écossaise du comté d'Aberdeen, peu avant la Première Guerre mondiale. Après la mort de leur mère, épuisée par les grossesses successives, les quatre enfants Guthrie sont séparés. Les deux plus jeunes partent vivre avec leurs oncle et tante, tandis que leur soeur, Chris, et leur frère aîné, Will, restent auprès de leur père, John, un homme autoritaire et violent. Les relations de plus en plus houleuses entre père et fils conduisent Will à embarquer pour l'Argentine. Chris se retrouve dans l'obligation de renoncer à son rêve de devenir institutrice pour s'occuper de son père. Peu après, ce dernier succombe à une attaque. Ne pouvant se résoudre à quitter sa terre natale, Chris décide alors de reprendre seule la ferme familiale... Superbe portrait de femme !",Film de guerre
Suprêmes,"Estrougo, Audrey",Audrey Estrougo ...,2185396,DVD SUP,"1989. Dans les cités déshéritées du 93, une bande de copains trouve un moyen d'expression grâce au mouvement hip-hop tout juste arrivé en France. Après la danse et le graff, Joey Starr et Kool Shen se mettent à écrire des textes de rap imprégnés par la colère qui couve dans les banlieues. Leurs rythmes enfiévrés et leurs textes révoltés ne tardent pas à galvaniser les foules et... à se heurter aux autorités. Mais peu importe, le Suprême NTM est né et avec lui le rap français fait des débuts fracassants !",Drame
Sur la planche,"Kilani, Leila",Leila Kilani ...,2177272,DVD SUR,"Tanger, aujourd'hui. Quatre jeunes femmes de vingt ans travaillent pour survivre le jour et vivent la nuit. Elles sont ouvrières réparties en deux castes : les textiles et les crevettes. Leur obsession : bouger. De l'aube à la nuit la cadence est effrénée, elles traversent la ville. Temps, espace et sommeil sont rares. Petites bricoleuses de l'urgence qui travaillent les hommes et les maisons vides. Ainsi va la course folle de Badia, Imane, Asma et Nawal. En bonus : Interviews de la réalisatrice et de l'équipe du film, avant-première, galerie de photos, biographie de la réalisatrice, bande-annonce du film.",Science-fiction
Sur la route,"Salles, Walter",Walter Salles ...,2129594,DVD SUR,"L'adaptation du livre éponyme de Jack Kerouac était attendue au tournant... Drogue, alcool, jazz, sexe, naissance de la Beat generation, tout y est, le charisme des acteurs aussi... Ne manque que la fièvre de l'écriture...",Drame
Sur la route de Madison,"Eastwood, Clint (1930 - ...)",Clint Eastwood ...,2197270,DVD SUR,"Résumé : La vie de Francesca, femme discrète et effacée, se réduit aux tâches ménagères de la ferme. Alors que son mari et ses enfants sont partis pour quatre jours, elle fait la rencontre inattendue de Robert Kincaid, photographe de passage. Leur relation, faite de respect et de délicatesse, se mue en amour passionné. Pendant quatre jours, Francesca est une autre femme, trouvant enfin son épanouissement auprès de cet homme qui sait la comprendre et la faire rêver... Film remastérisé.","Romance, sentimental"
Sur les chemins noirs,"Imbert, Denis",Denis Imbert ...,2197649,DVD SUR,"Un soir d'ivresse, Pierre, écrivain explorateur, fait une chute de plusieurs étages. Cet accident le plonge dans un coma profond. Sur son lit d'hôpital, revenu à la vie, il se fait la promesse de traverser la France à pied du Mercantour au Cotentin. Un voyage unique et hors du temps à la rencontre de l'hyper-ruralité, de la beauté de la France et de la renaissance de soi.",Historique
Suzanne,"Quillévéré, Katell",Katell Quillévéré ...,2131164,DVD SUZ,"Suzanne vit avec son père routier et sa soeur dont elle est inséparable. Fille-mère à l'adolescence, sa vie bascule lorsqu'elle tombe amoureuse de Julien...","Romance, sentimental"
Swallow,"Mirabella-Davis, Carlo",Carlo Mirabella-Davis ...,2177857,DVD SWA,"Hunter semble mener une vie parfaite aux côtés de Richie, son mari qui vient de reprendre la direction de l'entreprise familiale. Mais dès lors qu'elle tombe enceinte, elle développe un trouble compulsif du comportement alimentaire, le Pica, caractérisé par l'ingestion d'objets divers. Son époux et sa belle-famille décident alors de contrôler ses moindres faits et gestes pour éviter le pire : qu'elle ne porte atteinte à la lignée des Conrad... Mais cette étrange et incontrôlable obsession ne cacherait-elle pas un secret plus terrible encore ? En bonus : Entretien avec le réalisateur. """"Swallow"", quasi huis-clos, aborde un thème délicat avec une maîtrise formelle étonnante, rappelant le cinéma de Hitchcock : un premier film très prometteur."" Culturebox - Laurence Houot ""Une réalisation fignolée, une interprétation sublime, une finesse d'écriture... Le premier film de Mirabella-Davis est un joli tour de force."" Les Fiches du Cinéma - Simon Hoarau ""Avec son esthétique froide et aseptisée, à l'image de l'intérieur-vivarium où évolue Hunter, ce premier film ne fait pas dans la nuance, mais prend toute sa dimension quand son héroïne se libère en même temps que la mise en scène."" Le Nouvel Observateur - Nicolas Schaller ""Carlo Mirabella-Davis se révèle doué pour faire monter cette tension sourde. L'interprétation troublante de Haley Bennett se marie à merveille à sa mise en scène dépouillée permettant de deviner chaque petit morceau de cette fausse perfection qui se craquelle."" Première - Thierry Chèze",Fantasy / Merveilleux
Swim Little Fish Swim,"Amar, Ruben (1974 - ...)","Ruben Amar, Lola Bessis ...",2134146,DVD SWI,"Dans son petit appartement new-yorkais où il vit avec sa femme, Leeward, musicien talentueux et atypique, compose des morceaux à l'aide de jouets de sa fille de trois ans, Rainbow. Lilas, jeune vidéaste, traîne sa valise de squats d'artistes underground en galeries branchées, en espérant percer dans le milieu fermé de l'art contemporain. Leur rencontre pourrait bien les pousser à enfin accomplir leurs rêves. Un premier film à la fraîcheur revigorante.",Western
Swimming pool,"Ozon, François",François Ozon ...,2082067,DVD SWI,"Une romancière anglaise en panne d'inspiration rencontre une jeune fille délurée qui devient sa nouvelle héroïne. Eaux profondes ou eaux troubles, des avis partagés... Plongeons ! Infos DVD : 1 DVD-9 / 1.85:1 / 16/9 comp. 4/3 / Dolby Digital 5.1, DTS 5.1 / LG : Eng, Fre / S-T : Fre + Fre pour sourds et malentendants / Comm.audio de F.Ozon, C.Rampling et L.Sagnier.",Drame
Swiss army man,"Kwan, Daniel","Daniel Kwan, Daniel Scheinert ...",2158435,DVD SWI,"Hank, un homme désespéré errant dans la nature, découvre un mystérieux cadavre. Ils vont tous les deux embarquer dans un voyage épique afin de retrouver leur foyer. Lorsque Hank réalise que ce corps abandonné est la clé de sa survie, le suicidaire d'autrefois est forcé de convaincre un cadavre que la vie vaut la peine d'être vécu.Prix de la mise en scène au festival du film de Sundance, Etats-Unis, 2016, Prix du meilleur film et du meilleur acteur (Daniel Radcliffe) au Festival international du film de Catalogne, Espagne, 2016, Prix du 7e parallèle au Festival international du film fantastique de Bruxelles, Belgique, 2017",Fantasy / Merveilleux
Syngué Sabour,"Rahimi, Atiq (1962 - ...)",Atiq Rahimi ...,2125165,DVD SYN,"Au pied des montagnes de Kaboul, un héros de guerre gît dans le coma ; sa jeune femme à son chevet prie pour le ramener à la vie et finit par libérer sa parole en lui confiant ses souvenirs et ses désirs les plus intimes...",Film de guerre
Synonymes,"Lapid, Nadav (1975 - ...)",Nadav Lapid ...,2171550,DVD SYN,"Yoav, ex-militaire, fuit son territoire d'origine, Israël, pour Paris. Désormais il ne veut plus parler que le français et multiplie les tentatives pour devenir un nouveau jeune homme. En bonus : Entretien pour Arte du réalisateur Nadav Lapid par Olivier Père, Entretien croisé des acteurs Tom Mercier et Quentin Dolmaire par Frédéric Albert Levy, Court métrage ""Lama ?"", Bande-annonce. Ours d'Or à la Berlinale, Allemagne, 2019",Film de guerre
Tabou,"Gomes, Miguel (1972 - ...)",Miguel Gomes ...,2123411,DVD TAB,"Une vieille dame au fort tempérament, sa femme de ménage cap-verdienne et sa voisine dévouée à de bonnes causes partagent le même étage d'un immeuble à Lisbonne. Lorsque la première meurt, les deux autres prennent connaissance d'un épisode de son passé : une histoire d'amour et de crime dans une Afrique de film d'aventures. Un film miraculeux et fascinant qui renouvelle de façon libre et lyrique le cinéma... A voir absolument !",Policier et espionnage
Taipei story,"Yang, Edward",Edward Yang ...,2171154,DVD TAI,"Lung et Chin se connaissent depuis de nombreuses années. Lui est un ancien joueur de base-ball sans véritable ambition professionnelle ; elle a un poste de secrétaire au sein d'un grand cabinet d'architectes. Le sentiment qu'ils éprouvent l'un pour l'autre est un mélange d'amour et d'affection profonde, aux contours flous. Mais le licenciement brutal de Chin va bientôt fissurer leur couple et compromettre leur projet de vie commune...En bonus : Entretien exclusif avec Olivier Assayas, bande-annonce.","Romance, sentimental"
Take Shelter,"Nichols, Jeff",Jeff Nichols ...,2114478,DVD TAK,Curtis mène une vie paisible avec sa femme et sa fille sourde et muette quand il devient sujet à de violents cauchemars. La menace d'une tornade l'obsède. Une oeuvre magistrale qui hante durablement.,Drame
Talons aiguilles,"Almodóvar, Pedro (1949 - ...)",Pedro Almodóvar ...,2171932,DVD TAL,"Becky Del Paramo, chanteuse célèbre, retrouve sa fille Rebeca après 15 ans d'absence. Cette dernière, présentatrice à la télévision, s'accuse en direct du meurtre de son mari. Un juge étrange arbitre ces mortelles retrouvailles. Avec Talons aiguilles, Pedro Almodovar nous offre la sublime confrontation de deux femmes. Son plus grand succès public. En bonus : Autour de ""Talons aiguilles"" : entretiens avec Victoria Abril, Marisa Paredes, Pedro Almodovar et Agustin Almodovar, La scène du tribunal rejouée lors de la soirée de lancement de film, bande-annonce.",Drame
Tandem,"Leconte, Patrice (1947 - ...)",Patrice Leconte ...,2195020,DVD TAN,"Michel Mortez anime depuis 25 ans un jeu radiophonique, ""La langue au chat"". Cabotin saltimbanque, il ne vit que pour son émission et le public des villes qu'il traverse. Sa vie ne serait que vide et solitude s'il n'y avait Bernard Rivetot, qui lui sert d'homme à tout faire ! Quand Rivetot apprend que ""La langue au chat"" va etre supprimée, il n'en dit mot à Mortez. Que faire ? Contient le DVD du film. ""Retour sur Tandem"" : entretien avec le réalisateur Patrice Leconte, Document d'archive : interview de tournage de Jean Rochefort.",Jap’anim
Tár,"Field, Todd (1964 - ...)",Todd Field ...,2197410,DVD TAR,"Lydia Tár, cheffe avant-gardiste d'un grand orchestre symphonique allemand, est au sommet de son art et de sa carrière. Le lancement de son livre approche et elle prépare un concert très attendu de la célèbre Symphonie n°5 de Gustav Mahler. Mais, en l'espace de quelques semaines, sa vie va se désagréger d'une façon singulièrement actuelle. En émerge un examen virulent des mécanismes du pouvoir, de leur impact et de leur persistance dans notre société.",Science-fiction
Tarzan,"Yates, David (1963 - ...)",David Yates ...,2197289,DVD TAR,"Résumé : Après avoir grandi dans la jungle africaine, Tarzan a renoué avec ses origines aristocratiques, répondant désormais au nom de John Clayton, Lord Greystoke. Il mène une vie paisible auprès de son épouse Jane jusqu'au jour où il est convié au Congo en tant qu'émissaire du Commerce. Mais il est loin de se douter du piège qui l'attend. Car le redoutable belge Leon Rom est bien décidé à l'utiliser pour assouvir sa soif de vengeance et sa cupidité...",Drame
Tarzan : La Collection Tarzan - Johnny Weissmuller : Films 1 à 6 (1932-1942),"Burroughs, Edgar Rice (1875 - 1950)",,2197524,DVDJ TAR,"Résumé : Johnny Weissmuller, ce célèbre nageur américain laissera son image à jamais gravée dans le cinéma d'outre-Atlantique en incarnant Tarzan à l'écran... Les 6 premiers films",Drame
Tarzan : La Collection Tarzan - Johnny Weissmuller : Films 7 à 12 (1943-1948),"Burroughs, Edgar Rice (1875 - 1950)",,2197525,DVD TAR,"Résumé : Johnny Weissmuller, ce célèbre nageur américain laissera son image à jamais gravée dans le cinéma d'outre-Atlantique en incarnant Tarzan à l'écran... Les 6 derniers films",Drame
Tatouage,"Masumura, Yasuzo (1924 - 1986)",Yasuzo Masumura ...,2197703,DVD TAT,"Parce qu'on l'empêche de vivre sa passion pour un apprenti, la jeune Otsuya fuit la maison parentale et se réfugie chez Gonji. Après avoir tenté d'abuser d'elle, ce dernier la vend au tenancier d'une maison de geishas. Un jour, un artiste fasciné par la beauté d'Otsuya lui tatoue une araignée sur le dos. C'est une révélation pour la jeune femme qui décide, dès lors, de se venger de la gente masculine.","Romance, sentimental"
Taxi Sofia,"Komandarev, Stephan",Stephan Komandarev ...,2158139,DVD TAX,"Lors d'un rendez-vous avec son banquier, un petit entrepreneur, qui travaille comme chauffeur de taxi pour arrondir ses fins de mois, découvre que le montant du pot de vin, qu'il doit verser pour obtenir son prêt, a doublé. Désemparé, l'homme tue le banquier et se suicide. Le drame suscite un débat national à la radio sur le désespoir qui a saisi la société civile. Pendant ce temps, cinq chauffeurs de taxi et leurs passagers roulent dans Sofia, la nuit, chacun dans l'espoir de trouver un avenir meilleur...",Drame
Taxi Téhéran,"Panahi, Jafar",Jafar Panahi,2138968,DVD TAX,"Installé au volant de son taxi, Jafar Panahi sillonne les rues animées de Téhéran. Au gré des passagers qui se succèdent et se confient à lui, le réalisateur dresse le portrait de la société iranienne, entre rires et émotion. Un dispositif fictionnel aux confins du documentaire qui permet au réalisateur de contourner la censure.",Biopic
